Abstract #,Paper title,Authors,Presentation date,Presentation time,Actual time,Session name,Session chair,Room number,Award (hon mention or best paper)
126,Understanding the detection of view fraud in Video Content Portals,"Miriam Marciel, Ruben Cuevas, Albert Banchs, Roberto Gonzalez, Stefano Traverso, Mohamed Ahmed and Arturo Azcorra.",Thursday,,12:07-12:30,Track 8: Security & Privacy (2),,,
1029,On the Temporal Dynamics of Opinion Spamming - Case Studies on Yelp,Santosh Kc and Arjun Mukherjee.,Thursday,11:00 - 12:30,11:00-11:22,Track 9: Content Analysis (2),,,
626,Scaling up Dynamic Topic Models,"Arnab Bhadury, Jianfei Chen, Jun Zhu and Shixia Liu.",Thursday,,11:22-11:45,Track 9: Content Analysis (2),,,
859,Learning Global Term Weights for Content-based Recommender Systems,"Yupeng Gu, Bo Zhao and David Hardtke.",Thursday,,11:45-12:07,Track 9: Content Analysis (2),,,
488,"Exploring patterns of identity usage in tweets: a new problem, solution and case study","Kenneth Joseph, Wei Wei and Kathleen Carley.",Thursday,,12:07-12:30,Track 9: Content Analysis (2),,,
972,The Death and Life of Great Italian Cities: A Mobile Phone Data Perspective,"Marco De Nadai, Jacopo Staiano, Roberto Larcher, Nicu Sebe, Daniele Quecia and Bruno Lepri.",Thursday,11:00 - 12:30,11:00-11:30,Track 10: Mobility (1),,,
912,Beyond the baseline: Establishing the value in mobile phone based poverty estimates,Christopher Smith-Clarke and Licia Capra.,Thursday,,11:30-12:00,Track 10: Mobility (1),,,
244, Pushing the Frontier: Exploring the African Web Ecosystem,"Roderick Fanou, Gareth Tyson, Pierre Francois and Arjuna Sathiaseelan.",Thursday,,12:00-12:30,Track 10: Mobility (1),,,
512,Latent Space Model for Multi-Modal Social Data,"Yoon-Sik Cho, Greg Ver Steeg, Emilio Ferrara and Aram Galstyan.",Thursday,14:00 - 15:30,14:00-14:22,Track 11: Social Networks & Graph Analysis (2),,,
178,Modeling a Retweet Network via an Adaptive Bayesian Approach,Bin Bi and Junghoo Cho.,Thursday,,14:22-14:45,Track 11: Social Networks & Graph Analysis (2),,,
608,On Sampling Nodes in a Network,"Flavio Chierichetti, Anirban Dasgupta, Ravi Kumar, Silvio Lattanzi and Tamas Sarlos.",Thursday,,14:45-15:07,Track 11: Social Networks & Graph Analysis (2),,,
960,Distributed Estimation of Graph 4-Profiles,"Ethan R. Elenberg, Karthikeyan Shanmugam, Michael Borokhovich and Alexandros G. Dimakis.",Thursday,,15:07-15:30,Track 11: Social Networks & Graph Analysis (2),,,
909,Detecting Good Abandonment in Mobile Search,"Kyle Williams, Julia Kiseleva, Aidan Crook, Imed Zitouni, Ahmed Hassan Awadallah and Madian Khabsa.",Thursday,14:00 - 15:30,14:00-14:22,Track 12: Behaviour Analysis & Personalization (2),,,
562,Ups and Downs: Modeling the Visual Evolution of Fashion Trends with One-Class Collaborative Filtering,Ruining He and Julian McAuley.,Thursday,,14:22-14:45,Track 12: Behaviour Analysis & Personalization (2),,,
466,Modeling User Consumption Sequences,"Austin Benson, Ravi Kumar and Andrew Tomkins.",Thursday,,14:45-15:07,Track 12: Behaviour Analysis & Personalization (2),,,
523,A Neural Click Model for Web Search,"Alexey Borisov, Ilya Markov, Maarten de Rijke and Pavel Serdyukov.",Thursday,,15:07-15:30,Track 12: Behaviour Analysis & Personalization (2),,,
447,Query-Less: Predicting Task Repetition for NextGen Proactive Search and Recommendation Engines,Yang Song and Qi Guo.,Thursday,14:00 - 15:30,14:00-14:22,Track 13: Web Search System & Applications (1),,,
631,Behavior Driven Topic Transition for Search Task Identification,"Liangda Li, Hongbo Deng, Yunlong He, Anlei Dong, Yi Chang and Hongyuan Zha.",Thursday,,14:22-14:45,Track 13: Web Search System & Applications (1),,,
759,A Piggyback System for Joint Entity Mention Detection and Linking in Web Queries,"Marco Cornolti, Paolo Ferragina, Massimiliano Ciaramita, Hinrich Shuetze and Stefan Rued.",Thursday,,14:45-15:07,Track 13: Web Search System & Applications (1),,,
111,Towards Mobile Query Auto-Completion: A Mobile Application-Aware Approach,"Aston Zhang, Amit Goyal, Ricardo Baeza-Yates, Yi Chang, Jiawei Han, Carl A. Gunter and Hongbo Deng.",Thursday,,15:07-15:30,Track 13: Web Search System & Applications (1),,,
991,"Disinformation on the Web: Impact, Characteristics, and Detection of Wikipedia Hoaxes","Srijan Kumar, Robert West and Jure Leskovec.",Thursday,14:00 - 15:30,14:00-14:22,Track 14: Crowdsourcing Systems & Social Media (1),,,
658,Tweet Properly: Analyzing Deleted Tweets to Understand and Identify Regrettable Ones,"Lu Zhou, Wenbo Wang and Keke Chen.",Thursday,,14:22-14:45,Track 14: Crowdsourcing Systems & Social Media (1),,,
950,Civil wars: Interaction dynamics and persuasion strategies in good-faith online discussions,"Chenhao Tan, Vlad Niculae, Cristian Danescu-Niculescu-Mizil and Lillian Lee.",Thursday,,14:45-15:07,Track 14: Crowdsourcing Systems & Social Media (1),,,
599,Addressing Complex and Subjective Product-Related Queries with Customer Reviews,Julian Mcauley and Alex Yang. ,Thursday,,15:07-15:30,Track 14: Crowdsourcing Systems & Social Media (1),,,
1107,A robust framework for estimating linguistic alignment in social media conversations,"Gabriel Doyle, Dan Yurovsky and Michael C. Frank.",Thursday,14:00 - 15:30,14:00-14:30,Track 15: Web Science (1),,,
392,Detecting Evolution of Concepts based on Cause-Effect Relationships in Online Reviews,"Yating Zhang, Adam Jatowt and Katsumi Tanaka. ",Thursday,,14:30-15:00,Track 15: Web Science (1),,,
444,The QWERTY effect on the web: How typing shapes the meaning of words in online human-computer interaction,David Garcia and Markus Strohmaier.,Thursday,,15:00-15:30,Track 15: Web Science (1),,,
212,Do Cascades Recur?,"Justin Cheng, Lada Adamic, Jon Kleinberg and Jure Leskovec.",Thursday,16:00 - 17:30,16:00-16:22,Track 16: Social Networks & Graph Analysis (3),,,
280,Exploring limits to prediction in complex social systems: Predicting cascade size on Twitter,"Travis Martin, Jake Hofman, Amit Sharma, Ashton Anderson and Duncan Watts.",Thursday,,16:22-16:45,Track 16: Social Networks & Graph Analysis (3),,,
745,TribeFlow: Mining & Predicting User Trajectories,"Flavio Figueiredo, Bruno Ribeiro, Jussara Almeida and Christos Faloutsos. ",Thursday,,16:45-17:07,Track 16: Social Networks & Graph Analysis (3),,,
283,Linking Users Across Domains with Location Data: Theory and Validation,"Christopher Riederer, Yunsung Kim, Nitish Korula, Silvio Lattanzi and Augustin Chaintreau.",Thursday,,17:07-17:30,Track 16: Social Networks & Graph Analysis (3),,,
226,Exploiting Dining Preference for Restaurant Recommendation,"Fuzheng Zhang, Nicholas Jing Yuan, Kai Zheng, Defu Lian, Xing Xie and Yong Rui.",Thursday,16:00 - 17:30,16:00-16:22,Track 17: Web Mining (2),,,
363,Non-Linear Mining of Competing Local Activities,"Yasuko Matsubara, Yasushi Sakurai and Christos Faloutsos.",Thursday,,16:22-16:45,Track 17: Web Mining (2),,,
572,PCT: Partial Co-Alignment of Social Networks,Jiawei Zhang and Philip S. Yu. ,Thursday,,16:45-17:07,Track 17: Web Mining (2),,,
1110,Improving Post-Click User's Engagement on Native Ads via Survival Analysis,"Nicola Barbieri, Fabrizio Silvestri and Mounia Lalmas.",Thursday,,17:07-17:30,Track 17: Web Mining (2),,,
